check_time,machine_id,batch_id,passed_qty,failed_qty,order_id
2024-01-01 08:00:00.000000,M03,ORD-1000-B1,218,0,ORD-1000
2024-01-01 10:00:00.000000,M03,ORD-1000-B2,218,0,ORD-1000
2024-01-01 12:00:00.000000,M03,ORD-1000-B3,217,1,ORD-1000
2024-01-01 14:00:00.000000,M03,ORD-1000-B4,217,1,ORD-1000
2024-01-02 08:00:00.000000,M01,ORD-1001-B1,244,1,ORD-1001
2024-01-02 10:00:00.000000,M01,ORD-1001-B2,245,0,ORD-1001
2024-01-02 12:00:00.000000,M01,ORD-1001-B3,244,1,ORD-1001
2024-01-02 14:00:00.000000,M01,ORD-1001-B4,244,1,ORD-1001
2024-01-02 19:04:36.627000,M01,ORD-1002-B1,227,0,ORD-1002
2024-01-02 21:04:36.627000,M01,ORD-1002-B2,226,1,ORD-1002
2024-01-02 08:00:00.000000,M02,ORD-1003-B1,492,0,ORD-1003
2024-01-02 10:00:00.000000,M02,ORD-1003-B2,489,3,ORD-1003
2024-01-02 12:00:00.000000,M02,ORD-1003-B3,491,1,ORD-1003
2024-01-02 14:00:00.000000,M02,ORD-1003-B4,489,3,ORD-1003
2024-01-02 19:00:33.767027,M02,ORD-1004-B1,218,1,ORD-1004
2024-01-02 21:00:33.767027,M02,ORD-1004-B2,218,1,ORD-1004
2024-01-02 08:00:00.000000,M03,ORD-1005-B1,561,3,ORD-1005
2024-01-02 10:00:00.000000,M03,ORD-1005-B2,563,1,ORD-1005
2024-01-02 14:53:47.326905,M03,ORD-1006-B1,428,3,ORD-1006
2024-01-02 16:53:47.326905,M03,ORD-1006-B2,429,2,ORD-1006
2024-01-03 08:00:00.000000,M02,ORD-1007-B1,535,1,ORD-1007
2024-01-03 10:00:00.000000,M02,ORD-1007-B2,533,3,ORD-1007
2024-01-03 14:09:45.839206,M02,ORD-1008-B1,429,2,ORD-1008
2024-01-03 16:09:45.839206,M02,ORD-1008-B2,428,3,ORD-1008
2024-01-03 18:09:45.839206,M02,ORD-1008-B3,427,4,ORD-1008
2024-01-03 20:09:45.839206,M02,ORD-1008-B4,427,4,ORD-1008
2024-01-03 08:00:00.000000,M03,ORD-1009-B1,499,4,ORD-1009
2024-01-03 10:00:00.000000,M03,ORD-1009-B2,502,1,ORD-1009
2024-01-03 12:00:00.000000,M03,ORD-1009-B3,500,3,ORD-1009
2024-01-03 16:46:01.697270,M03,ORD-1010-B1,428,2,ORD-1010
2024-01-03 18:46:01.697270,M03,ORD-1010-B2,430,0,ORD-1010
2024-01-04 08:00:00.000000,M01,ORD-1011-B1,455,3,ORD-1011
2024-01-04 10:00:00.000000,M01,ORD-1011-B2,457,1,ORD-1011
2024-01-04 12:00:00.000000,M01,ORD-1011-B3,458,0,ORD-1011
2024-01-04 14:00:00.000000,M01,ORD-1011-B4,456,2,ORD-1011
2024-01-04 16:00:00.000000,M01,ORD-1011-B5,457,1,ORD-1011
2024-01-04 08:00:00.000000,M02,ORD-1012-B1,232,0,ORD-1012
2024-01-04 10:00:00.000000,M02,ORD-1012-B2,231,1,ORD-1012
2024-01-04 12:00:00.000000,M02,ORD-1012-B3,232,0,ORD-1012
2024-01-04 14:00:00.000000,M02,ORD-1012-B4,230,2,ORD-1012
2024-01-04 08:00:00.000000,M03,ORD-1013-B1,473,3,ORD-1013
2024-01-04 10:00:00.000000,M03,ORD-1013-B2,474,2,ORD-1013
2024-01-04 12:00:00.000000,M03,ORD-1013-B3,473,3,ORD-1013
2024-01-04 14:00:00.000000,M03,ORD-1013-B4,475,1,ORD-1013
2024-01-04 16:00:00.000000,M03,ORD-1013-B5,474,2,ORD-1013
2024-01-04 20:24:51.700886,M03,ORD-1014-B1,461,4,ORD-1014
2024-01-04 22:24:51.700886,M03,ORD-1014-B2,464,1,ORD-1014
2024-01-05 08:00:00.000000,M01,ORD-1015-B1,514,5,ORD-1015
2024-01-05 10:00:00.000000,M01,ORD-1015-B2,517,2,ORD-1015
2024-01-05 12:00:00.000000,M01,ORD-1015-B3,517,2,ORD-1015
2024-01-05 16:34:43.270010,M01,ORD-1016-B1,208,1,ORD-1016
2024-01-05 18:34:43.270010,M01,ORD-1016-B2,208,1,ORD-1016
2024-01-05 20:34:43.270010,M01,ORD-1016-B3,208,1,ORD-1016
2024-01-05 08:00:00.000000,M02,ORD-1017-B1,468,0,ORD-1017
2024-01-05 10:00:00.000000,M02,ORD-1017-B2,467,1,ORD-1017
2024-01-05 14:11:19.872599,M02,ORD-1018-B1,217,0,ORD-1018
2024-01-05 16:11:19.872599,M02,ORD-1018-B2,217,0,ORD-1018
2024-01-05 18:11:19.872599,M02,ORD-1018-B3,217,0,ORD-1018
2024-01-05 08:00:00.000000,M03,ORD-1019-B1,184,37,ORD-1019
2024-01-05 10:00:00.000000,M03,ORD-1019-B2,180,41,ORD-1019
2024-01-05 12:00:00.000000,M03,ORD-1019-B3,183,38,ORD-1019
2024-01-05 14:00:00.000000,M03,ORD-1019-B4,182,39,ORD-1019
2024-01-06 08:00:00.000000,M01,ORD-1020-B1,206,1,ORD-1020
2024-01-06 10:00:00.000000,M01,ORD-1020-B2,207,0,ORD-1020
2024-01-06 12:00:00.000000,M01,ORD-1020-B3,207,0,ORD-1020
2024-01-06 14:00:00.000000,M01,ORD-1020-B4,206,1,ORD-1020
2024-01-06 16:00:00.000000,M01,ORD-1020-B5,207,0,ORD-1020
2024-01-06 18:54:14.616057,M01,ORD-1021-B1,570,2,ORD-1021
2024-01-06 20:54:14.616057,M01,ORD-1021-B2,567,5,ORD-1021
2024-01-06 08:00:00.000000,M02,ORD-1022-B1,229,1,ORD-1022
2024-01-06 10:00:00.000000,M02,ORD-1022-B2,229,1,ORD-1022
2024-01-06 12:00:00.000000,M02,ORD-1022-B3,230,0,ORD-1022
2024-01-06 16:12:02.704706,M02,ORD-1023-B1,228,1,ORD-1023
2024-01-06 18:12:02.704706,M02,ORD-1023-B2,227,2,ORD-1023
2024-01-06 20:12:02.704706,M02,ORD-1023-B3,228,1,ORD-1023
2024-01-06 22:12:02.704706,M02,ORD-1023-B4,229,0,ORD-1023
2024-01-06 08:00:00.000000,M03,ORD-1024-B1,454,4,ORD-1024
2024-01-06 10:00:00.000000,M03,ORD-1024-B2,458,0,ORD-1024
2024-01-06 12:00:00.000000,M03,ORD-1024-B3,454,4,ORD-1024
2024-01-06 14:00:00.000000,M03,ORD-1024-B4,458,0,ORD-1024
2024-01-07 08:00:00.000000,M01,ORD-1025-B1,430,2,ORD-1025
2024-01-07 10:00:00.000000,M01,ORD-1025-B2,431,1,ORD-1025
2024-01-07 12:00:00.000000,M01,ORD-1025-B3,430,2,ORD-1025
2024-01-07 08:00:00.000000,M02,ORD-1026-B1,527,3,ORD-1026
2024-01-07 10:00:00.000000,M02,ORD-1026-B2,530,0,ORD-1026
2024-01-07 14:02:35.318641,M02,ORD-1027-B1,478,1,ORD-1027
2024-01-07 16:02:35.318641,M02,ORD-1027-B2,475,4,ORD-1027
2024-01-07 18:02:35.318641,M02,ORD-1027-B3,479,0,ORD-1027
2024-01-07 08:00:00.000000,M03,ORD-1028-B1,199,1,ORD-1028
2024-01-07 10:00:00.000000,M03,ORD-1028-B2,199,1,ORD-1028
2024-01-07 12:00:00.000000,M03,ORD-1028-B3,200,0,ORD-1028
2024-01-07 14:45:36.548728,M03,ORD-1029-B1,216,0,ORD-1029
2024-01-07 16:45:36.548728,M03,ORD-1029-B2,216,0,ORD-1029
2024-01-07 18:45:36.548728,M03,ORD-1029-B3,216,0,ORD-1029
2024-01-07 20:45:36.548728,M03,ORD-1029-B4,216,0,ORD-1029
2024-01-08 08:00:00.000000,M01,ORD-1030-B1,479,0,ORD-1030
2024-01-08 10:00:00.000000,M01,ORD-1030-B2,476,3,ORD-1030
2024-01-08 12:00:00.000000,M01,ORD-1030-B3,477,2,ORD-1030
2024-01-08 15:54:07.658614,M01,ORD-1031-B1,440,3,ORD-1031
2024-01-08 17:54:07.658614,M01,ORD-1031-B2,443,0,ORD-1031
2024-01-08 08:00:00.000000,M03,ORD-1032-B1,266,1,ORD-1032
2024-01-08 10:00:00.000000,M03,ORD-1032-B2,266,1,ORD-1032
2024-01-08 13:50:43.538531,M03,ORD-1033-B1,201,0,ORD-1033
2024-01-08 15:50:43.538531,M03,ORD-1033-B2,201,0,ORD-1033
2024-01-08 17:50:43.538531,M03,ORD-1033-B3,200,1,ORD-1033
2024-01-08 19:50:43.538531,M03,ORD-1033-B4,201,0,ORD-1033
2024-01-09 08:00:00.000000,M01,ORD-1034-B1,505,4,ORD-1034
2024-01-09 10:00:00.000000,M01,ORD-1034-B2,509,0,ORD-1034
2024-01-09 12:00:00.000000,M01,ORD-1034-B3,509,0,ORD-1034
2024-01-09 08:00:00.000000,M03,ORD-1035-B1,471,0,ORD-1035
2024-01-09 10:00:00.000000,M03,ORD-1035-B2,470,1,ORD-1035
2024-01-09 12:00:00.000000,M03,ORD-1035-B3,469,2,ORD-1035
2024-01-09 14:00:00.000000,M03,ORD-1035-B4,468,3,ORD-1035
2024-01-09 18:52:35.261546,M03,ORD-1036-B1,450,3,ORD-1036
2024-01-09 20:52:35.261546,M03,ORD-1036-B2,450,3,ORD-1036
2024-01-10 08:00:00.000000,M01,ORD-1037-B1,465,1,ORD-1037
2024-01-10 10:00:00.000000,M01,ORD-1037-B2,464,2,ORD-1037
2024-01-10 14:08:07.094703,M01,ORD-1038-B1,464,3,ORD-1038
2024-01-10 16:08:07.094703,M01,ORD-1038-B2,464,3,ORD-1038
2024-01-10 18:08:07.094703,M01,ORD-1038-B3,467,0,ORD-1038
2024-01-10 08:00:00.000000,M02,ORD-1039-B1,468,4,ORD-1039
2024-01-10 10:00:00.000000,M02,ORD-1039-B2,472,0,ORD-1039
2024-01-10 12:00:00.000000,M02,ORD-1039-B3,470,2,ORD-1039
2024-01-10 14:00:00.000000,M02,ORD-1039-B4,469,3,ORD-1039
2024-01-10 16:00:00.000000,M02,ORD-1039-B5,470,2,ORD-1039
2024-01-10 08:00:00.000000,M03,ORD-1040-B1,263,1,ORD-1040
2024-01-10 10:00:00.000000,M03,ORD-1040-B2,263,1,ORD-1040
2024-01-10 12:00:00.000000,M03,ORD-1040-B3,262,2,ORD-1040
2024-01-10 16:52:35.214919,M03,ORD-1041-B1,246,2,ORD-1041
2024-01-10 18:52:35.214919,M03,ORD-1041-B2,247,1,ORD-1041
2024-01-10 20:52:35.214919,M03,ORD-1041-B3,247,1,ORD-1041
2024-01-11 08:00:00.000000,M01,ORD-1042-B1,452,1,ORD-1042
2024-01-11 10:00:00.000000,M01,ORD-1042-B2,453,0,ORD-1042
2024-01-11 12:00:00.000000,M01,ORD-1042-B3,451,2,ORD-1042
2024-01-11 14:00:00.000000,M01,ORD-1042-B4,451,2,ORD-1042
2024-01-11 08:00:00.000000,M02,ORD-1043-B1,473,1,ORD-1043
2024-01-11 10:00:00.000000,M02,ORD-1043-B2,473,1,ORD-1043
2024-01-11 12:00:00.000000,M02,ORD-1043-B3,474,0,ORD-1043
2024-01-11 14:00:00.000000,M02,ORD-1043-B4,474,0,ORD-1043
2024-01-11 16:00:00.000000,M02,ORD-1043-B5,472,2,ORD-1043
2024-01-11 08:00:00.000000,M03,ORD-1044-B1,260,2,ORD-1044
2024-01-11 10:00:00.000000,M03,ORD-1044-B2,262,0,ORD-1044
2024-01-11 12:00:00.000000,M03,ORD-1044-B3,261,1,ORD-1044
2024-01-12 08:00:00.000000,M02,ORD-1045-B1,399,3,ORD-1045
2024-01-12 10:00:00.000000,M02,ORD-1045-B2,402,0,ORD-1045
2024-01-12 12:00:00.000000,M02,ORD-1045-B3,401,1,ORD-1045
2024-01-12 15:30:04.449642,M02,ORD-1046-B1,533,1,ORD-1046
2024-01-12 17:30:04.449642,M02,ORD-1046-B2,534,0,ORD-1046
2024-01-12 08:00:00.000000,M03,ORD-1047-B1,229,1,ORD-1047
2024-01-12 10:00:00.000000,M03,ORD-1047-B2,229,1,ORD-1047
2024-01-12 12:00:00.000000,M03,ORD-1047-B3,230,0,ORD-1047
2024-01-12 14:00:00.000000,M03,ORD-1047-B4,230,0,ORD-1047
2024-01-12 16:00:00.000000,M03,ORD-1047-B5,229,1,ORD-1047
2024-01-13 08:00:00.000000,M01,ORD-1048-B1,226,0,ORD-1048
2024-01-13 10:00:00.000000,M01,ORD-1048-B2,225,1,ORD-1048
2024-01-13 12:00:00.000000,M01,ORD-1048-B3,226,0,ORD-1048
2024-01-13 08:00:00.000000,M02,ORD-1049-B1,251,2,ORD-1049
2024-01-13 10:00:00.000000,M02,ORD-1049-B2,252,1,ORD-1049
2024-01-13 08:00:00.000000,M03,ORD-1050-B1,249,0,ORD-1050
2024-01-13 10:00:00.000000,M03,ORD-1050-B2,248,1,ORD-1050
2024-01-13 14:09:48.721197,M03,ORD-1051-B1,222,1,ORD-1051
2024-01-13 16:09:48.721197,M03,ORD-1051-B2,222,1,ORD-1051
2024-01-13 18:09:48.721197,M03,ORD-1051-B3,223,0,ORD-1051
2024-01-14 08:00:00.000000,M01,ORD-1052-B1,406,0,ORD-1052
2024-01-14 10:00:00.000000,M01,ORD-1052-B2,405,1,ORD-1052
2024-01-14 08:00:00.000000,M02,ORD-1053-B1,219,1,ORD-1053
2024-01-14 10:00:00.000000,M02,ORD-1053-B2,220,0,ORD-1053
2024-01-14 12:00:00.000000,M02,ORD-1053-B3,219,1,ORD-1053
2024-01-14 16:02:01.350140,M02,ORD-1054-B1,458,2,ORD-1054
2024-01-14 18:02:01.350140,M02,ORD-1054-B2,457,3,ORD-1054
2024-01-14 20:02:01.350140,M02,ORD-1054-B3,458,2,ORD-1054
2024-01-14 08:00:00.000000,M03,ORD-1055-B1,244,0,ORD-1055
2024-01-14 10:00:00.000000,M03,ORD-1055-B2,244,0,ORD-1055
2024-01-14 12:00:00.000000,M03,ORD-1055-B3,242,2,ORD-1055
2024-01-14 14:00:00.000000,M03,ORD-1055-B4,243,1,ORD-1055
2024-01-15 08:00:00.000000,M01,ORD-1056-B1,421,2,ORD-1056
2024-01-15 10:00:00.000000,M01,ORD-1056-B2,422,1,ORD-1056
2024-01-15 12:00:00.000000,M01,ORD-1056-B3,422,1,ORD-1056
2024-01-15 14:00:00.000000,M01,ORD-1056-B4,422,1,ORD-1056
2024-01-15 16:00:00.000000,M01,ORD-1056-B5,423,0,ORD-1056
2024-01-15 08:00:00.000000,M02,ORD-1057-B1,459,2,ORD-1057
2024-01-15 10:00:00.000000,M02,ORD-1057-B2,459,2,ORD-1057
2024-01-15 12:00:00.000000,M02,ORD-1057-B3,459,2,ORD-1057
2024-01-15 14:00:00.000000,M02,ORD-1057-B4,460,1,ORD-1057
2024-01-15 08:00:00.000000,M03,ORD-1058-B1,234,2,ORD-1058
2024-01-15 10:00:00.000000,M03,ORD-1058-B2,235,1,ORD-1058
2024-01-15 12:00:00.000000,M03,ORD-1058-B3,235,1,ORD-1058
2024-01-15 14:00:00.000000,M03,ORD-1058-B4,235,1,ORD-1058
2024-01-15 16:00:00.000000,M03,ORD-1058-B5,236,0,ORD-1058
2024-01-16 08:00:00.000000,M02,ORD-1059-B1,432,3,ORD-1059
2024-01-16 10:00:00.000000,M02,ORD-1059-B2,433,2,ORD-1059
2024-01-16 12:00:00.000000,M02,ORD-1059-B3,434,1,ORD-1059
2024-01-16 14:00:00.000000,M02,ORD-1059-B4,431,4,ORD-1059
2024-01-16 16:00:00.000000,M02,ORD-1059-B5,434,1,ORD-1059
2024-01-16 08:00:00.000000,M03,ORD-1060-B1,462,1,ORD-1060
2024-01-16 10:00:00.000000,M03,ORD-1060-B2,463,0,ORD-1060
2024-01-16 12:00:00.000000,M03,ORD-1060-B3,460,3,ORD-1060
2024-01-16 14:00:00.000000,M03,ORD-1060-B4,459,4,ORD-1060
